City,Businesses,Total
Cornelius,7955,46369
Gilbert,5009,
Glendale,4039,
Charlotte,2757,
Phoenix,2014,
Concord,1949,
Las Vegas,1877,
Toronto,1261,
Strongsville,1112,
Mesa,1080,
Montréal,1076,
Tempe,1029,
Scottsdale,984,
Parma,963,
Goodyear,878,
Beachwood,792,
Henderson,702,
Dorval,671,
Fort Mill,417,
Peoria,352,
Etobicoke,318,
Markham,274,
Pittsburgh,249,
Scarborough,247,
Surprise,241,
Matthews,230,
Aurora,227,
Calgary,207,
Chandler,201,
Hudson,184,
Madison,179,
Cleveland,171,
Stoughton,163,
Westlake,160,
Vaughan,126,
Fairview Park,105,
Ajax,102,
Mississauga,101,
Gastonia,101,
Pepper Pike,100,
North York,94,
Huntersville,94,
Avondale,93,
Oakville,91,
Twinsburg,88,
Fitchburg,87,
Black Earth,87,
Lakewood,81,
Montreal-Nord,80,
Pineville,79,
Woodmere,78,
Chagrin Falls,78,
Davidson,77,
Brampton,76,
Pittsburg,75,
Thornhill,72,
Middleton,67,
Whitby,66,
Central City Village,63,
Rocky View,62,
Richmond Hill,60,
Canonsburg,59,
Mint Hill,59,
Ben Avon,58,
Belmont,58,
Mayfield Heights,57,
Las  Vegas,54,
North Las Vegas,53,
Bridgeville,51,
Macedonia,51,
Northfield,51,
Cuyahoga Falls,50,
Willoughby,49,
Middleburg Heights,49,
Cave Creek,48,
Dollard-des-Ormeaux,48,
Monroe,48,
Boulder City,47,
New Kensington,46,
Mentor,46,
Litchfield Park,45,
Blue Diamond,45,
Bethel Park,44,
Verona,41,
Independence,41,
Solon,39,
Laveen Village,38,
Warrensville Hts.,37,
South Euclid,37,
Wexford,35,
Champaign,35,
Carnegie,35,
Sun City,34,
Newmarket,33,
Laval,32,
Grafton,32,
Bellevue,32,
Rocky River,32,
Pickering,31,
Richfield,31,
Coraopolis,30,
Painesville,30,
Ahwatukee,29,
Lyndhurst,29,
Willowick,28,
Avon Lake,27,
Berea,27,
Medina,27,
Brook Park,26,
Monroeville,26,
Youngtown,26,
Cheswick,26,
Buckeye,26,
Cleveland Heights,25,
Sainte-Thérèse,25,
Brunswick,24,
Sewickley,24,
Chardon,24,
DeForest,23,
Caledon East,23,
Brossard,23,
Elyria,22,
North Royalton,22,
Montreal,22,
Urbana,21,
Murrysville,21,
Mc Donald,21,
Irwin,20,
Wickliffe,20,
Chargrin Falls,20,
Monona,19,
Munroe Falls,19,
North Randall,18,
Gibsonia,18,
Brooklyn,17,
Kent,17,
Broadview Heights,17,
Indian Trail,17,
Oakmont,17,
Rock Hill,17,
North Olmsted,17,
Dormont,16,
Amherst,16,
Sun Prairie,16,
Stow,16,
Moon Township,16,
Westmount,16,
Homestead,16,
Chambly,16,
Mahomet,15,
Mentor-on-the-Lake,15,
Sainte-Anne-de-Bellevue,14,
Moreland Hills,14,
Mount Lebanon,14,
Kirtland,14,
Avon,14,
Sharpsburg,14,
Woodbridge,13,
Fountain Hills,13,
Brentwood,13,
Mont-Royal,13,
Olmsted Falls,13,
Ballantyne,13,
Mayfield Village,12,
Lorain,12,
Fairlawn,12,
North Toronto,12,
Midland,12,
Saint-Sauveur,11,
Mount Holly,11,
Robinson Township,11,
Carefree,11,
Highland Heights,11,
Akron,10,
Laveen,10,
Saint-Leonard,10,
Eastlake,10,
Euclid,10,
Elrama,10,
Mayfield,9,
Heidelberg,9,
Peninsula,9,
Durham Regional Municipality,9,
El Mirage,9,
glendale,9,
Burton,9,
Mooresville,9,
Longueuil,9,
University Heights,9,
Harrisburg,9,
Sauk City,9,
Enterprise,8,
Bay Village,8,
Edgewood,8,
Caledon,8,
Anthem,8,
Crafton,8,
Warrensville Heights,8,
North Huntingdon,8,
Shaker Heights,7,
Parma Heights,7,
Saint-Laurent,7,
MESA,7,
Streetsboro,7,
McMurray,7,
Springdale,7,
Fort McDowell,6,
Emsworth,6,
Orange Village,6,
Mcmurray,6,
Lasalle,6,
Oakdale,6,
