business_id,city
__3qOwWFBUE8mdOToI7YrQ,Las Vegas
_-_7GkvA7yt58R33yOe7tg,Henderson
__8j8yhsmE98wNWHJNyAgw,Toronto
__G0Ug3CK2yCDdQLYpd0ww,Montréal
__iqJ91sPngnwEa3nIQP8Q,Greenfield Park
__IsqCZAF9YTcvKPKj2dZg,Las Vegas
__pTR2Zcmofr_1FpAaQZhA,Thornhill
_0d-uqjdfeL23s2xgje4Pw,Concord
_0HCVLXx8sTeMYQ6vIZYxg,Toronto
_0kkH9QsIkc3zwgC5_NO0A,Scottsdale
_0x7W6fizaPP76xNBxBLAQ,Las Vegas
_0ZIFTvfcA3UETO_S_JTNA,Las Vegas
_1A9VRVsHjdrjh2vKU9wuw,Mississauga
_1dS8bRrhN8hoCn58vmoHg,Phoenix
_1jaQX_3kkg2i_Dftzgycg,Toronto
_1pJGqX6zwElaiaKGjvQ4A,Toronto
_1PTNxS1jGJIoEK8mkoryg,Tempe
_1t-Cxb39F43ta-rtN_hfg,Charlotte
_21yVx-fAKiXl0st1PBpJQ,Goodyear
_226qjKuUXAAt1MVFIWanA,Richmond Hill
_287i8ZeEf0H1LiqPhyvBg,Phoenix
_2D94Xl3yvokJV-9VUZw4g,Surprise
_2eom7YRiBK1ba2MFJGjvA,Glendale
_2fjiOHfu-S7fS2n4wfySw,Las Vegas
_2IDg76ltIEkoi691jocAw,Waunakee
_2jq1pu7XuKFylIsJZkc1A,Las Vegas
_2o8c8SqTaCvhHi7K1HqhA,Phoenix
_2RhdxPmKnf8nVwAsI7Pzw,Montréal
_2sW-m_rQgBhBlVRYQRIzw,Scottsdale
_2trMwFsh5-IqqEcQ-OLVA,Charlotte
_2X_W0Tf5-RXyGabxVwiGg,Las Vegas
_3_bRY1o7xd9XOP8i4OHJw,Madison
_33-XWJONocBnsQZX3JGFQ,Mesa
_3fBaGFFg4cjOEiMOJ2cgg,Toronto
_3FxLxdg1unUQc3QqIgJuA,Las Vegas
_3hqMYKfjH524629nCKKRw,Phoenix
_3IE9guLHvAr-kJpH4Zd7Q,Toronto
_3Jj73hDkhMhsrx002t39w,Madison
_3lIBvmGuRzry5FNN1WprA,Toronto
_3okFFTRYFAWppgIWHO55g,Calgary
_3olhuCXhoqjy4M2rBp1YA,Las Vegas
_3rJXHNQsnMnG-M8MHRkhg,Toronto
_3zAG1TnRQrvD4RpGJ6Vrg,Phoenix
_3ZmaFN_Ld9u5CTEaxLr8g,Brampton
_4B99coJlSasAgQPm0gyqA,Toronto
_4Gpn_NIM94D9OFucgfaJQ,Scottsdale
_4KbTU8rSnPeoGU8veK0Pg,Sheffield Village
_4KoAOFWFBu7xCoKtZfv6A,Fort Mill
_4noxz6NM0gBeVhZ58Emtg,Scarborough
_4qndNOqaB-dDIPCI2MkCg,Rocky River
_4rLRRCAmKV99MKaf2lehg,Chandler
_4tCeVrLRmI18BscMiHr7Q,Las Vegas
_4vjkw-LjpqQyxU4rHtwBA,Fort Mill
_4zFDLCB8Ukz9JaJnzTi4g,Huntersville
