Las Vegas,7955
Toronto,5009
Phoenix,4039
Charlotte,2757
Pittsburgh,2014
Montréal,1949
Scottsdale,1877
Henderson,1261
Mesa,1112
Tempe,1080
Chandler,1076
Calgary,1029
Cleveland,984
Madison,963
Mississauga,878
Gilbert,792
Glendale,702
Markham,671
Peoria,417
Richmond Hill,352
North Las Vegas,318
Vaughan,274
Scarborough,249
North York,247
Concord,241
Brampton,230
Surprise,227
Champaign,207
Goodyear,201
Lakewood,184
Huntersville,179
Avondale,171
Matthews,163
Etobicoke,160
Fort Mill,126
Mentor,105
Gastonia,102
Akron,101
Westlake,101
Aurora,100
Thornhill,94
Middleton,94
Cornelius,93
Newmarket,91
Cuyahoga Falls,88
Pineville,87
Strongsville,87
Rocky River,81
North Olmsted,80
Monroeville,79
Cave Creek,78
Cleveland Heights,78
Parma,77
Beachwood,76
Oakville,75
Pickering,72
Medina,67
Montreal,66
Ajax,63
Laval,62
Avon,60
Bridgeville,59
Boulder City,59
Solon,58
Willoughby,58
Kent,57
Fitchburg,54
Wexford,53
Independence,51
Litchfield Park,51
Bethel Park,51
Rock Hill,50
Brossard,49
Canonsburg,49
Woodbridge,48
Fountain Hills,48
Urbana,48
Chagrin Falls,47
Stow,46
Mayfield Heights,46
Sun Prairie,45
Hudson,45
Belmont,44
Homestead,41
Verona,41
Indian Trail,39
Middleburg Heights,38
Fairview Park,37
Coraopolis,37
Lyndhurst,35
Fairlawn,35
Monona,35
Sun City,34
Verdun,33
Twinsburg,32
Carnegie,32
Whitby,32
Dollard-des-Ormeaux,32
Painesville,31
Harrisburg,31
Davidson,30
Waxhaw,30
Brunswick,29
Sewickley,29
McMurray,28
Berea,27
Avon Lake,27
Woodmere,27
Denver,26
Dorval,26
Brooklyn,26
Tolleson,26
Paradise Valley,26
West Mifflin,25
Elyria,25
Mint Hill,24
Pointe-Claire,24
Westmount,24
Macedonia,23
Brecksville,23
Saint-Laurent,23
Queen Creek,22
Broadview Heights,22
Streetsboro,22
Indian Land,21
Willowick,21
Monroe,21
Buckeye,20
Chardon,20
North Royalton,20
Parma Heights,19
Murrysville,19
Unionville,18
University Heights,18
East York,17
Stoughton,17
Laveen,17
South Euclid,17
Carefree,17
Bellevue,17
Bedford,17
Northfield,16
Euclid,16
Amherst,16
Moon Township,16
Gibsonia,16
Stouffville,16
Irwin,16
Oakmont,16
Whitchurch-Stouffville,15
Mount Holly,15
Brook Park,14
Olmsted Falls,14
Warrensville Heights,14
Wickliffe,14
Kannapolis,14
Airdrie,14
Waunakee,13
Chesterland,13
Highland Heights,13
Pleasant Hills,13
Lorain,13
Sun City West,13
York,12
Eastlake,12
Maple,12
Longueuil,12
McKees Rocks,12
Richfield,11
Shaker Heights,11
Lake Wylie,11
Oakdale,11
Saint-Sauveur,11
Bay Village,10
Valley View,10
Allison Park,10
Tarentum,10
West Homestead,10
Willoughby Hills,10
New Kensington,9
Clover,9
Peninsula,9
Outremont,9
Pierrefonds,9
Youngtown,9
Kirtland,9
North Ridgeville,9
McKeesport,9
Tega Cay,9
Mount Horeb,9
Orange Village,9
Oregon,8
El Mirage,8
North Versailles,8
King City,8
Millvale,8
Tallmadge,8
East Gwillimbury,8
Lachine,8
Kirkland,7
Anthem,7
White Oak,7
Ambridge,7
Stallings,7
Orange,7
Bolton,7
Greenfield Park,6
Mooresville,6
Mont-Royal,6
Turtle Creek,6
Seven Hills,6
Robinson Township,6
DeForest,6
N Las Vegas,6
Elizabeth,6
Georgetown,6
Upper Saint Clair,6
North Randall,6
Munhall,6
Wadsworth,6
Lasalle,6
Glenshaw,6
Apache Junction,6
Brentwood,6
Saint-Hubert,6
Crafton,6
Bedford Heights,6
Cramerton,5
Munroe Falls,5
Windsor,5
Laveen Village,5
Summerlin,5
Sainte-Anne-de-Bellevue,5
Aspinwall,5
Midland,5
Caledon,5
Trafford,5
Robinson,5
Blue Diamond,5
Ahwatukee,5
Rocky View,5
Guadalupe,5
