business_id,name,address,city,state,postal_code,latitude,longitude,stars,review_count,is_open,attributes,categories,hours
_adbswq_0E8MoJ9eoVf6vw,Comfort Inn Conference Center,699 Rodi Rd,Pittsburgh,PA,15235,40.443041,-79.826353,2.5,47,1,"{'RestaurantsPriceRange2': '2', 'HasTV': 'True', 'WiFi': ""u'free'"", 'RestaurantsReservations': 'True', 'Caters': 'False', 'BusinessAcceptsCreditCards': 'True', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}"", 'RestaurantsDelivery': 'False', 'RestaurantsTakeOut': 'False'}","Hotels & Travel, Restaurants, Event Planning & Services, Hotels","{'Monday': '0:0-0:0', 'Tuesday': '0:0-0:0', 'Wednesday': '0:0-0:0', 'Thursday': '0:0-0:0', 'Friday': '0:0-0:0', 'Saturday': '0:0-0:0', 'Sunday': '0:0-0:0'}"
_anMkOs2LhCPvH8T1Q9Cdw,Southside Riverfront Park,18TH Aly,Pittsburgh,PA,15203,40.4321182939,-79.9760055542,4,16,1,"{'GoodForKids': 'True', 'BikeParking': 'True', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}""}","Boating, Mountain Biking, Active Life, Parks",None
_d7ySCr1d4k-NmDsdNTqgQ,PetSmart,6210 Northway Dr,Pittsburgh,PA,15237,40.54985,-80.02154,3,12,1,None,"Pet Training, Pet Services, Pet Groomers, Pets, Pet Stores","{'Monday': '9:0-21:0', 'Tuesday': '9:0-21:0', 'Wednesday': '9:0-21:0', 'Thursday': '9:0-21:0', 'Friday': '9:0-21:0', 'Saturday': '9:0-21:0', 'Sunday': '10:0-19:0'}"
_iUlt5rm-15QoLw0MEEg5A,Mitchell's Restaurant Bar & Banquet Center,304 Ross St,Pittsburgh,PA,15219,40.437105,-79.9964954,4,42,1,"{'OutdoorSeating': 'True', 'RestaurantsTakeOut': 'False', 'WiFi': ""u'free'"", 'HasTV': 'True', 'RestaurantsAttire': ""'casual'"", 'BusinessAcceptsCreditCards': 'True', 'RestaurantsReservations': 'True', 'BikeParking': 'True', 'RestaurantsGoodForGroups': 'True', 'Alcohol': ""u'full_bar'"", 'Caters': 'True', 'Ambience': ""{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': True}"", 'RestaurantsDelivery': 'False', 'HappyHour': 'True', 'RestaurantsPriceRange2': '2', 'GoodForMeal': ""{'dessert': False, 'latenight': False, 'lunch': True, 'dinner': False, 'brunch': False, 'breakfast': False}"", 'BusinessParking': ""{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}"", 'NoiseLevel': ""u'loud'"", 'GoodForKids': 'True'}","Nightlife, American (Traditional), Lounges, Venues & Event Spaces, Event Planning & Services, Restaurants, Bars","{'Monday': '10:0-2:0', 'Tuesday': '10:0-2:0', 'Wednesday': '10:0-2:0', 'Thursday': '10:0-2:0', 'Friday': '10:0-2:0', 'Saturday': '18:0-2:0'}"
_JV_2YiaCoJCwuuWaFpZCw,Jiffy Lube,4846 McKnight Road,Pittsburgh,PA,15237,40.5288674,-80.0074403,3.5,16,1,{'BusinessAcceptsCreditCards': 'True'},"Oil Change Stations, Automotive, Smog Check Stations, Auto Repair","{'Monday': '8:0-19:0', 'Tuesday': '8:0-19:0', 'Wednesday': '8:0-19:0', 'Thursday': '8:0-19:0', 'Friday': '8:0-19:0', 'Saturday': '8:0-18:0', 'Sunday': '9:0-17:0'}"
_P_Hznxd1vF-agFXTS8KGw,Mohan's Restaurant,7324 Saltsburg Rd,Pittsburgh,PA,15235,40.477684,-79.786857,4,30,1,"{'RestaurantsReservations': 'True', 'Caters': 'True', 'NoiseLevel': ""u'average'"", 'HasTV': 'True', 'Alcohol': ""u'full_bar'"", 'RestaurantsPriceRange2': '2', 'BikeParking': 'True', 'OutdoorSeating': 'False', 'GoodForKids': 'True', 'RestaurantsAttire': ""u'casual'"", 'RestaurantsDelivery': 'False', 'WiFi': ""u'no'"", 'RestaurantsGoodForGroups': 'True', 'BusinessAcceptsCreditCards': 'True', 'WheelchairAccessible': 'True', 'RestaurantsTakeOut': 'True', 'GoodForMeal': ""{'dessert': False, 'latenight': False, 'lunch': False, 'dinner': False, 'brunch': False, 'breakfast': False}"", 'Ambience': ""{'touristy': None, 'hipster': None, 'romantic': None, 'divey': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': None, 'casual': None}"", 'BusinessParking': ""{'garage': None, 'street': None, 'validated': None, 'lot': True, 'valet': False}""}","Restaurants, Chicken Wings, American (New)","{'Monday': '11:0-0:30', 'Tuesday': '11:0-0:30', 'Wednesday': '11:0-0:30', 'Thursday': '11:0-0:30', 'Friday': '11:0-1:0', 'Saturday': '11:0-1:0', 'Sunday': '11:0-23:0'}"
_rKz-rQPzUAIZWlUHCKgow,McDonald's,3708 Forbes Ave,Pittsburgh,PA,15213,40.441228,-79.957259,1.5,22,1,"{'RestaurantsAttire': ""u'casual'"", 'Alcohol': ""u'none'"", 'RestaurantsReservations': 'False', 'GoodForKids': 'True', 'RestaurantsGoodForGroups': 'True', 'GoodForMeal': ""{'dessert': False, 'latenight': False, 'lunch': False, 'dinner': False, 'brunch': False, 'breakfast': False}"", 'NoiseLevel': ""u'average'"", 'RestaurantsPriceRange2': '1', 'Caters': 'False', 'WiFi': ""u'free'"", 'BusinessAcceptsCreditCards': 'True', 'RestaurantsTakeOut': 'True', 'Ambience': ""{'touristy': False, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': True, 'casual': False}"", 'HasTV': 'True', 'OutdoorSeating': 'False', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}"", 'RestaurantsDelivery': 'True'}","Restaurants, Fast Food, Burgers, Coffee & Tea, Food","{'Monday': '5:0-4:0', 'Tuesday': '0:0-0:0', 'Wednesday': '4:0-23:0', 'Thursday': '5:0-4:0', 'Friday': '6:0-4:0', 'Saturday': '0:0-0:0', 'Sunday': '5:0-1:0'}"
_RoLyFaOoLteuwBUM4JIbQ,Anytime Tan Tanning Club,1 Bailey Ave,Pittsburgh,PA,15211,40.4271496,-80.0050132,3.5,11,1,"{'BusinessParking': ""{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}"", 'ByAppointmentOnly': 'False', 'RestaurantsPriceRange2': '2', 'BusinessAcceptsCreditCards': 'True', 'BikeParking': 'True', 'WiFi': ""u'free'""}","Tanning, Beauty & Spas, Spray Tanning, Tanning Beds, Skin Care","{'Monday': '9:0-20:0', 'Tuesday': '9:0-20:0', 'Wednesday': '9:0-20:0', 'Thursday': '9:0-20:0', 'Friday': '9:0-20:0', 'Saturday': '9:0-17:0', 'Sunday': '9:0-16:0'}"
_tpvRiE69BSU5IAcqcr5sw,Evolve Massage & Wellness Center,"2101 Greentree Rd, Ste A114",Pittsburgh,PA,15220,40.3903858,-80.0708968,4.5,50,1,"{'ByAppointmentOnly': 'True', 'BikeParking': 'True', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}"", 'RestaurantsPriceRange2': '2', 'BusinessAcceptsCreditCards': 'True', 'AcceptsInsurance': 'False', 'WiFi': ""u'no'"", 'WheelchairAccessible': 'True', 'BusinessAcceptsBitcoin': 'False'}","Waxing, Hair Removal, Beauty & Spas, Massage, Skin Care","{'Monday': '9:0-21:0', 'Tuesday': '9:0-21:0', 'Wednesday': '9:0-21:0', 'Thursday': '9:0-21:0', 'Friday': '9:0-21:0', 'Saturday': '8:0-19:0', 'Sunday': '9:0-18:0'}"
_VYUU5HPLYasd-xdKLimNA,Castle Place Chinese Restaurant,331 Mount Lebanon Blvd,Pittsburgh,PA,15234,40.369991,-80.034378,4,14,1,"{'RestaurantsPriceRange2': '1', 'BusinessAcceptsCreditCards': 'True', 'RestaurantsDelivery': 'True', 'RestaurantsTakeOut': 'True', 'RestaurantsAttire': ""u'casual'"", 'OutdoorSeating': 'False', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}""}","Chinese, Restaurants, Seafood, Chicken Shop","{'Monday': '11:0-22:0', 'Tuesday': '11:0-22:0', 'Wednesday': '11:0-22:0', 'Thursday': '11:0-22:0', 'Friday': '11:0-22:0', 'Saturday': '12:0-22:0', 'Sunday': '16:0-21:0'}"
