business_id,name,address,city,state,postal_code,latitude,longitude,stars,review_count,is_open,attributes,categories,hours
__3qOwWFBUE8mdOToI7YrQ,Custom Kings,address,Las Vegas,NV,88901,36.05565695,-115.1694221,2,45,1,"{'BusinessAcceptsCreditCards': 'True', 'BikeParking': 'True', 'RestaurantsPriceRange2': '1'}","Fashion, Local Services, Shopping, Men's Clothing, Outlet Stores, Screen Printing/T-Shirt Printing",hours
__G0Ug3CK2yCDdQLYpd0ww,LV Spa,address,Montréal,QC,H3G,45.4973214,-73.5715453,3,29,1,attributes,"Nail Salons, Beauty & Spas",hours
__iqJ91sPngnwEa3nIQP8Q,Bocado Grill,,Greenfield Park,QC,J4V 2Y8,45.4781043,-73.4758218,4.5,15,1,,"Portuguese, Canadian (New), Restaurants",
__IsqCZAF9YTcvKPKj2dZg,Z Gallerie,address,Las Vegas,NV,89109,36.127874,-115.17134,3,31,1,"{'BusinessAcceptsCreditCards': 'True', 'RestaurantsPriceRange2': '3', 'BusinessParking': ""{'garage': True, 'street': False, 'validated': False, 'lot': False, 'valet': False}"", 'BikeParking': 'True'}","Home Decor, Furniture Stores, Shopping, Home & Garden",hours
_1A9VRVsHjdrjh2vKU9wuw,Wimpy's Diner,address,Mississauga,ON,L5J 1K5,43.5064432,-79.6354266,3,20,1,"{'OutdoorSeating': 'False', 'RestaurantsTakeOut': 'True', 'Ambience': ""{'touristy': False, 'hipster': False, 'romantic': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': False, 'casual': False}"", 'RestaurantsDelivery': 'True', 'DriveThru': 'False', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}"", 'RestaurantsPriceRange2': '2', 'RestaurantsGoodForGroups': 'True', 'GoodForMeal': ""{'dessert': False, 'latenight': False, 'lunch': False, 'dinner': False, 'brunch': False, 'breakfast': False}"", 'GoodForKids': 'True', 'RestaurantsAttire': ""'casual'"", 'RestaurantsReservations': 'True', 'HasTV': 'True'}","Diners, Restaurants, Breakfast & Brunch, Burgers","{'Monday': '10:0-22:0', 'Tuesday': '10:0-22:0', 'Wednesday': '10:0-22:0', 'Thursday': '10:0-22:0', 'Friday': '10:0-0:0', 'Saturday': '10:0-0:0'}"
_1jaQX_3kkg2i_Dftzgycg,Dollarama,address,Toronto,ON,M5V 2J6,43.646368,-79.3959152,3.5,13,1,"{'RestaurantsReservations': 'False', 'GoodForKids': 'True', 'RestaurantsTakeOut': 'True', 'BusinessAcceptsCreditCards': 'True', 'RestaurantsPriceRange2': '1', 'RestaurantsAttire': ""'casual'"", 'Ambience': ""{'romantic': False, 'intimate': False, 'touristy': False, 'hipster': False, 'divey': False, 'classy': False, 'trendy': False, 'upscale': False, 'casual': False}"", 'RestaurantsGoodForGroups': 'True', 'BikeParking': 'False', 'NoiseLevel': ""u'average'"", 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}"", 'Alcohol': ""u'none'"", 'RestaurantsDelivery': 'True', 'HasTV': 'True'}","Discount Store, Shopping",
_1pJGqX6zwElaiaKGjvQ4A,Jerkup Central,5505 Yonge Street,Toronto,ON,M1S 4N7,43.78995632,-79.26891592,4.5,13,1,"{'GoodForMeal': ""{'dessert': False, 'latenight': False, 'lunch': False, 'dinner': False, 'brunch': False, 'breakfast': False}"", 'Ambience': ""{'touristy': False, 'hipster': False, 'romantic': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': False, 'casual': False}""}","Caterers, Restaurants, Gluten-Free, Event Planning & Services, Caribbean","{'Tuesday': '17:0-1:0', 'Wednesday': '17:0-1:0', 'Thursday': '17:0-1:0', 'Friday': '17:0-1:0', 'Saturday': '17:0-1:0', 'Sunday': '17:0-1:0'}"
_1PTNxS1jGJIoEK8mkoryg,Dollar Tree,1622 Avenue Lincoln,Tempe,AZ,85283,33.3631587,-111.9082187,4,14,1,"{'RestaurantsReservations': 'False', 'Alcohol': ""u'none'"", 'Ambience': ""{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': True}"", 'BikeParking': 'True', 'RestaurantsAttire': ""u'casual'"", 'RestaurantsGoodForGroups': 'True', 'OutdoorSeating': 'False', 'RestaurantsDelivery': 'True', 'WiFi': ""u'no'"", 'RestaurantsTakeOut': 'True', 'RestaurantsPriceRange2': '1', 'HasTV': 'True', 'BusinessParking': ""{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}"", 'Caters': 'True', 'NoiseLevel': ""u'average'"", 'GoodForKids': 'True'}","Fashion, Discount Store, Shopping, Department Stores",hours
_1t-Cxb39F43ta-rtN_hfg,TownePlace Suites Charlotte University Research Park,address,Charlotte,NC,28262,35.31528485,-80.76176389,2.5,24,1,"{'DogsAllowed': 'True', 'BusinessAcceptsCreditCards': 'True', 'WiFi': ""'free'"", 'RestaurantsPriceRange2': '2'}","Hotels & Travel, Event Planning & Services, Hotels","{'Monday': '0:0-0:0', 'Tuesday': '8:0-20:0', 'Wednesday': '8:0-20:0', 'Thursday': '8:0-20:0', 'Friday': '8:0-20:0', 'Saturday': '8:0-19:0', 'Sunday': '10:0-17:0'}"
