review_id,user_id,business_id,stars,useful,funny,cool,text,word_count,date,elite,average
__Nej4VGP0Z65PxUD7uv6w,rW8WuLpZPk9btE3TgkQw2Q,_5WK3TKSn5mgNa__HstCXg,4,0,0,0,"Very clean and great salon! Only downside is they can be very busy and you can wait a while. My favorite is Becky, she does a great job. I will say they do have ""hidden fees"" so be sure to ask if something costs extra. Make an appointment and get your service a bit faster.",55,6/11/2018 21:49,FALSE,0.074221048
_2qOOYHSV5wkwnZ_uD7D1A,15Df4nKyincw7u1fhVOOLg,_BLsLFpxcwj7y35a-BuObA,1,0,0,0,We had lunch and had a negative experience. I ordered a salad and my colleagues as well (all different) they were all extra-salty. My main dish was the grilliata (grilled seafood) and the scallops tasted really bad. Service is very lousy and slooooow,43,7/11/2019 19:08,FALSE,0.047262086
_2rlRlmRgMg630NytQ2SZw,fieG_NMe33z9yW-5jYoK5g,_BgnYJV0mhn42Ux4naA0vA,4,1,1,1,"I really enjoyed my first visit here!

The owner, Barret, has apparently been in the restaurant business since he was sixteen. Starting as a bus boy and made it to General Manager by twenty four. He's helped open several other restaurants in his time and with all that experience has decided to finally make one of his own so he can work closer to his family. 

Walking in the front door you are immediately hit with a wonderful smell. The menu is visible right away, half being above the counter and half on the wall to the left. One of my very few complaints is the small size of the restaurant, however I'm told even though they have only been open three weeks they are already in the process of acquiring the vacant location next door and expanding. I guess business has been good! 

Trying to get a decent variety in our selections I ordered a burger and fries and my wife picked the barbeque plate with baked beans and macaroni & cheese. Burger was perfectly cooked",177,5/30/2018 21:33,TRUE,0.088661683
_3LJnLP6cjtCLhpJCEVEMA,5W8_DQm6SEoWIDgISVdCwA,_6KeQG5LVVLFvvXkoLZITQ,5,3,0,0,Flor is THE BEST! I have come in to get three of my dresses (2 bridesmaid dresses and 1 maxi dress) hemmed/altered. She is so sweet and great at what she does. Her pricing is very reasonable and she is very honest. Her turnaround time is great too! All of my dresses have turned out perfect and I could not be happier! Such amazing service and I would highly recommend her!,71,4/26/2019 23:45,FALSE,0.10172421
_5Wi6Y2D9MxsZ48cOXn_HA,ixb4f0Flth0YobyRpca0lw,_9kpamfhbsG5NVNpP-ED3w,5,0,0,0,"I've been to several nail places in the area and this is the only one I've gone back to over and over. The ladies are nice and the place is clean, they do a good job and their prices are competitive. I'll be back again!",45,5/12/2017 8:11,FALSE,0.092323732
_6gGJxt9-RXjoXOOmoR4lw,eRhDa-F9ONoHjlq6i-dQQA,_6KWB_ztjZ9yv7T6KPaZ8w,5,1,0,0,"I started at a different plumbing company and could tell that I was getting overcharged on their estimate.  Dorothy at Apache Plumbing knew a lot about plumbing and was able to give me a free quote over the phone based on my description of what was going on.  The plumber that they sent out, Justin, was awesome and was done very quickly. He was also able to give me an estimate on another plumbing project we have been putting off for awhile.  I highly recommend this company.  Both Dorothy and Justin were no nonsense and really knowledgeable.  And the price was great.  I'm very glad I found them.",108,1/4/2018 21:38,FALSE,0.054349393
_7kRqCuhjqcOja9XJ81nlA,7cd6X-ygLLUgL_hJjRn67w,_BJdRw73rGb35ofd3ElTUA,5,0,0,0,Love this place. One of best Arabic food restaurant in the area. And the owners are so nice. Highly recommended. Try the lamb,23,5/13/2017 18:55,FALSE,0.118989639
_9oAPNzkAGQjoxRxGBdZ2g,QdTMcak8B_L9sfuw6ebKJQ,_4zFDLCB8Ukz9JaJnzTi4g,5,0,0,0,"Love this place. The pizza is always good. It is well managed and clean. Price is reasonable. Staff is always pleasant and smiling, especially the owner. I hate cold pizza but with this pizza and you bake it process, it always is ready when you are. Only place I go for takeout pizza. Will continue to buy pizza from there.",60,7/8/2019 19:07,FALSE,0.109478868
_AQtwO57wlDxt07OVxsaYg,qjYXOBnladFYhciGBSgAMw,_ESuRoWa4UKvS95IaePulA,5,1,1,1,"I haven't even begun to explore the entire offerings of this store. And I'm definitely not experienced in the world of brewing. While this is only my first brewing goods store, I seriously dig it. Can I thank the gods of the 21st Amendment to the US Constitution that ultimately led to a time in space where we can experiment with chemistry and brew our own beer?

If you want to start brewing and have never done it before, you don't need to look any farther than here. They have starter kits with everything you could need for both small (1 gal) and large (5 gal) batch home brewing. There's a bucket, gallon jug, air lock, thermometer, hydrometer (both glass), bottle capper and sanitizing solutions. I'm probably missing something too. All you need to buy in addition would be the pot for boiling and some caps. Drink yourself a few beers and save the bottles for when you've made your own. Last but not least, you'll need a kit.

Here they prepackage several kits for different beer styles and get it all ready for you to simply grab and go. There are 1 gal and 5 gal batch options. I've bought the Irish Red (a good first-timer beer), Hefeweizen and Oktoberfest. There are at least 5 other types that I've seen. If you're more experienced or a bit of a traditionalist, you can even build your own recipe from scratch or online guides. They have buckets of bulk dry grains and malt you can scoop to your delight. If you're in need of supplies to increase your output, cooling time, measurements, for kegging, they've got just about everything here. Including, to my surprise, things for brewing wine and even sake.

The prices aren't bad, I guess. But again, I've got little to no experience and I've also heard this is the only shop in Charlotte selling this stuff so they may be able to get away with charging a premium. For now, I love this new hobby of mine and can't recommend this store more!",345,11/11/2018 11:38,TRUE,0.104968954
_auG35WaqvMlp2vfe_e3Gg,u7XixsmPh-1sfjGvkuJOcA,_d7ySCr1d4k-NmDsdNTqgQ,5,0,0,0,"I had bought a corn snake from the Shadyside location and the little guy was unfortunately prolapsed. I cleaned his prolapse and took him back to the store so he could be taken care of. I was able to get a different corn snake for the same discounted price. The staff at this location (let alone any PetSmart) is always helpful, knowledgeable, and eager to assist you.",67,4/20/2019 17:21,FALSE,0.038236973
