review_id,user_id,business_id,stars,useful,funny,cool,text,date,elite,average
1uZM35mdL8Wcq-YkkJVTGA,J31YqMpcTTKLVkUIkLFWEg,__3qOwWFBUE8mdOToI7YrQ,1.0,0,0,0,This place is a SCAM BEWARE. We paid $220 for 2 shirts and when we asked where the costs came from they couldn't justify them. The woman at the counter took our card then gave us the $200 quote so that we could not refuse. DO NOT GO HERE!,2019-11-28 19:59:23,False,0.06866654793206811
081rYaETUf9QMHMfvonfxw,JVfHgKsgYassql_lEkVMZQ,__3qOwWFBUE8mdOToI7YrQ,1.0,1,0,0,"Don't go here they are scam artist! The guy doing the shirt didn't even explain how much anything was mumble and couldn't understand what he was saying. The music was way to loud! When my wife went to the cashier it was a ridiculous price for $20 to $119, but the cashier already swiped the card! And there is no refunds! What is that swipe the card before telling the customer how much the real price is! Then you can't refund because once you swipe the card you can't refund it! Not posting prices or when asked get told a different price before you go to the cashier! Don't go and get scammed like my wife and I sure other people also! They hide their prices and don't show you until they swipe your card!",2019-11-08 19:45:24,False,0.06391469438190979
-rdiXouzsgQpbfikZ4l5lA,p0HdNY9TlcWPMO12bRRXfA,__3qOwWFBUE8mdOToI7YrQ,1.0,1,0,0,"The price they say is not what you are paying.

We just bought 3 shorts, the price was 20$ per short ok fine, we ask for custom transfer, we thought it was included but it wasn't at all and then the price jumped to 275$. Seriously. Then we bargained at 167. Still are we serious here.

Honestly avoid this shop by all means, the prices are not at all presented in a honest approach.",2019-10-28 02:26:54,False,0.06417512300656734
tQSeNMvsuJfH1QgbEAjlvg,jUd80YWYWwmnPgqinnXB4g,__3qOwWFBUE8mdOToI7YrQ,5.0,0,0,0,"thank you to the company custom kings ... 
anthony and crystal you guyz are the beat at what you do .. if you are ever in las crgas stop by the south premium and the other store on the strip and fremont they really get it done quick and fast come down to the store and create your personal clothing ...thank you guys custom kingz gan gang!!!!",2019-09-28 00:19:18,False,0.03176366239659048
K_X09aHPFPDAnXhN3TdUeQ,0ig9e161pX6ybO1yA1yy_w,__3qOwWFBUE8mdOToI7YrQ,5.0,2,0,1,Service and the employees were super dope. Husband got a shirt here and we didn't  check that there was a letter missing and they did it with no hesitation. Def a business I will work with in the future. They ship as well. Thank you!,2019-09-05 23:17:16,False,0.03538738763081644
fk9GkQYBTVJudOE69I6-IA,H2d7S3waLI7JWPIlIb4MIQ,__3qOwWFBUE8mdOToI7YrQ,1.0,0,0,0,"Do not buy any thing in this store or you will regret it
i promise you, hello I have no choice but i have to rate this place 
be honest they do not even deserve one star, beware of gouging",2019-08-13 04:59:27,False,0.02488384072101472
igoxMywYzpdMvWY03Y9rwQ,MVPYIili8JDkcvSELKtoIg,__3qOwWFBUE8mdOToI7YrQ,1.0,2,0,0,"I got a couple t-shirts printed and honestly the printing on it was terrible and not worth the over charge. It was very simple design, black and white. Walked away feeling upset to much time and way to much money spent.",2019-08-09 01:29:31,False,0.055475661150819915
tyGBMHkNJwnQBlYwV8e-Kg,2aaYZvxJbxdXQZta_MmhnA,__3qOwWFBUE8mdOToI7YrQ,1.0,3,0,0,Do not buy from there! I picked out a shirt that was $19. Then after it was printed I was informed that there was a $30 screen printing charge. My total cost for one shirt was $55. I refused to pay and the store clerk was hateful. I stood my ground and did not pay that amount for the shirt. You can find higher quality shirts for better prices. Do not even go in!,2019-07-30 20:03:23,False,0.0823315224315525
EptSXkWQ7Jpzeq0Sp2fZYg,fm_Ds-68NTO5xO_xgXBkcA,__3qOwWFBUE8mdOToI7YrQ,1.0,1,0,0,"Cute shirts but BUYER BEWARE!!! The other reviews are correct that it's a TOTAL SCAM!!! We were told the shirts were $30 but when she rang up the final total, it was $30 for the shirt PLUS $30 for each image.  She even said she gave us 2 shirts ""for free"" HA!!! Cute images and saying but not worth $60 a shirt for 100% cotton that is not preshrunk!",2019-07-20 17:45:13,False,0.08451737159239318
HqfgJqarjhC6QytTIjMonQ,Unk6Mxn-PS6ARqY2vYtMfw,__3qOwWFBUE8mdOToI7YrQ,2.0,1,0,0,"I came there with a bunch of my own shirts and they said they could print my image I already had.  The guys that helped me the day of were really mice and really helpful and worked really hard, but there work wasn't that clean and on two of my shirts they printed a different color saying that's how you get rid of the shading, when I actually had a file with no shading.  So two of my shirts were wasted.  They didn't offer to reprint it on their own shirts and I asked them to give me a discount on those two shirts.  The guy said yes but he did not.  They said 20$ a shirt and a 25$ fee for the gold that's 165 plus a sweatshirt from there.  Total I paid over 200$ so they gave me no discount on the two shirts they wasted and didn't offer to reprint.  They also took close to 3 hours so I had to come back.  When I came back I wanted to talk to somebody else about the two shirts and crystal was extremely rude to me.  She had the worst attitude and she recorded our conversation without my permission when I told her I would never have her represent my company her attitude was horrible.  She talked to me like I was stupid.  Also I requested the image not be on the chest but right below it and the image on the two wrong color shirts is so low it's practically by my belly button.  They also sealed all the lint in the image so it looks dirty and left some extra foil on the back of another shirt.  Like I said it's just not that clean of work overall, however, I prob still would have printed more things there if they were better about fixing their mistakes or talked to me nicer when I expressed my concerns to Crystal.  I would suggest going somewhere else, they weren't cheap at all.",2019-06-17 00:49:46,False,0.09149458181384258
Mru2nbJaEd0kSE0QkwiagQ,aiHH2O9toCaJ-zTyOYojAg,__3qOwWFBUE8mdOToI7YrQ,1.0,2,0,0,"This place is a total con. We went in for 3 pairs of shorts and were offered 2 T shirts ""free"". The end result was $361 worth of clothing. We argued with them but they pulled the usual ""it's not our policy, it's the company's"" they also pulled out the ridiculous pricing list, which had they been up front about we would have walked away. 
In this case AVOID THESE MORONS AT ALL COSTS! We should have just walked out...",2019-06-02 19:00:51,False,0.06012930079984521
P_mi_ppytas3Fx9zYZwBHw,V7cGEFexpXTY-jKWhqkHcw,__3qOwWFBUE8mdOToI7YrQ,4.0,0,0,0,"No issues whatsoever! I came in on my lunch break (I'm local), showed an image for a shirt I wanted, requested a different color than what was pictured and I got exactly what I asked for. I paid the price I was quoted and confirmed what was on my receipt. There was no haggling or miscommunication at all. I was in and out with 2 shirts from start to beginning in less than 30 minutes. After I paid I went into Nike and bought 2 pairs of shoes, came out and my shirts were done.",2019-05-25 23:22:32,False,0.06758885752208232
jYurTmdGSOt2vRrJHuUw-Q,iJiLJKEzkcvPzxSKO_gKrQ,__3qOwWFBUE8mdOToI7YrQ,1.0,2,1,0,This place will tell you a price and charge you differently. Keep your eye out. Even if it's a drunk eye.,2019-01-15 01:54:26,False,0.03778151568758984
7E3CIRz4WS_H48ybbBlHFg,uKh7iNrAnYEWfqVtbbRHcg,__3qOwWFBUE8mdOToI7YrQ,1.0,2,0,0,"This place is a tourist trap.  It would be a total scam and illegal, but I assume they technically aren't doing anything illegal.  I hope they get closed down for unethical business practices soon.

They sell printed t-shirts for ~$100.  When you walk in the store they ask if you want a shirt and if you say yes, they start making one.  Then, if you go further into the store there are signs and fine print that say clothes are not refundable when you request them.  When you try to tell them to stop or ask them why they didn't tell you the price before making the shirt, they claim ignorance.",2019-01-10 23:33:59,False,0.0825807413252164
7RwTaeeFDuEI23Xy5RvjaA,NIYjNecpY8twTr1Sqe56wg,__3qOwWFBUE8mdOToI7YrQ,1.0,1,0,0,"If I could give 0 stars I would. I hate to leave bad reviews but I feel if I can save someone from getting ripped off it's worth it.  They are scam artists. The lady told me that it would be $35 for the first shirt and $10 for each additional.  After making the shirts, she told me my total was $94. Wait $35 + $10 + $10 does not equal $94. She said that there were licensing charges that I had to pay. I was furious, so she then said she'd give it to me for $80 out the door. When I got my credit card receipt, I found she charged me $87. I will definitely be disputing this charge.  Please be careful if you decide to chance it!",2018-12-31 01:06:49,False,0.0762712659913837
bHy8E_RbZLRl-_pHOmYD4A,EKrdvj-w_AuyT2PXCEqjiA,__3qOwWFBUE8mdOToI7YrQ,1.0,2,0,0,"Very very very dissatisfied. Paid 95$ for a T-shirt and  let's be honest, it was bad quality + fruit of the loom brand.

Went in thinking it was going to be 30-50$ like the price says On the sign and then the rude lady fails to mention that she's charging per letter. Seriously I would recommend the T-shirt diner inside sunset mall. They made me a shirt for 37& and it was honestly of great quality. 

Do not go here. Total rip off and defiantly over priced.",2018-12-20 16:11:39,False,0.06613420040080212
zPvllShCjKnGCH_yem5thQ,xGsN1ZtRMZtpzOMwqQsvZw,__3qOwWFBUE8mdOToI7YrQ,1.0,1,0,0,"If I can give them zero stars I would. Their business is not how you should run one. We went in to get a shirt. Like all the other reviews they didn't give a price. We looked up our pictures and she made the shirt immediately. When she charged us afterward if was $93. That's fucking crap for what we got. The shirt should have been at most $20. And when we found out we got charged that much we called to see if hey have a return policy. In which they do not. Not worth it at all. Shit shirt, shit prices. Border line scamming",2018-12-10 02:37:48,False,0.09493689233422205
ayYJsHP0fBCCLppRWOJZFA,5OtFRlVs9qmkXNAZ9FwxQw,__3qOwWFBUE8mdOToI7YrQ,5.0,1,1,1,"they were on fremont street--saw a funny t-shirt & asked if they had it in 2x on a regular black shirt--they said they could make it for me--
took them 2 minutes & I had the shirt--they are very efficient & nice--
my husband loves the shirt & gets lots of comments on it.....",2018-11-16 17:06:08,False,0.0480017782723808
mZb0QGUV1Rt2N7DU82cntQ,vCAmjqMEeSUBrOvRd6EVUQ,__3qOwWFBUE8mdOToI7YrQ,1.0,2,0,0,RIP off they dont have prices posted and then they gouge you dont buy go somewhere else,2018-10-21 15:33:27,False,0.05033487534864968
GNf59ubFtKOzR5n7vZEn3w,YoNufrSualtk_-Q7As_uaw,__3qOwWFBUE8mdOToI7YrQ,5.0,0,1,0,"As usual, I took a vacation to Vegas just like the past 5 years and I was looking for a shop that could make me a custom shirt. It was tough but as I walked the freemont strip, I came upon custom kings. Kings is right. Jazmyn is a perfectionist.  She took all the time necessary to complete my request. It wasn't cheap, but well worth the wait. She helped me pick out the colors while I played out the design. Awesome job! Sherry also assisted by giving me prompt updates and direction. I will also say that the team was so dedicated that when Daphne showed up, she started assisting right away. So much, that she forgot to clock in. I hope she still gets paid. Well, I've gotta go but if you need a custom shirt, this is the place. Great job girls!",2018-10-18 01:04:43,False,0.07487693784655307
8utqTrSQ2qLTQ66p0H4D_w,d2GQTss5jmtJwShCQjeEFw,__3qOwWFBUE8mdOToI7YrQ,5.0,0,0,0,Here on vacation and was just walking the strip. Walked in and the owner was super friendly and helpful! Got a great gift for our friend!,2018-09-24 23:51:59,False,0.03673697312004271
e7oULPD8MZaHryfmtP4S-w,isuZ2RMQrbCfa2-2NbsbKQ,__3qOwWFBUE8mdOToI7YrQ,5.0,0,0,0,"ABSOLUTELY AMAZING!!!!! Let me start with they were so freaking welcoming! I loved the music!!! I loved the environment!!! Gahhh go here for the atmosphere period!!!!! Then they had these outstanding clothes!!!!!!!  NYE AND FaFe Were dreams!!! I actually got a pair of shorts too big (My own fault, he even offered a smaller size and I suggested against it). After walking down the strip they were too big In the waist .. I came back and my heavens he was welcoming and gave me a smaller pair on the house (with the same embroidery)!!!! I love this place and I highly recommend! Thank you so much guys!!!!",2018-08-26 00:04:44,False,0.030107970435387797
ljeynT4ssLXmOvWUqm0dDQ,HNFQvMugUhVTc6jWTxVOuA,__3qOwWFBUE8mdOToI7YrQ,1.0,3,0,0,Unfortunately I have to give a star. But never again.  Walked in there asked for a price many times and got ignored. Finally get told a price and they charged ne triple the price... I got 3 shirts and got charged 180... wtf I could have gone to Gucci and it's way better material than this this cheap shit. And they said I got the shirts free they only charged me for designs,2018-08-25 22:05:28,False,0.09887551287878038
AITZBSK2qt8HVPVF6GR39A,L1suycS1EA9ron6l3WO-uA,__3qOwWFBUE8mdOToI7YrQ,1.0,4,0,0,Place is a rip off! They don't tell you the actual cost until they print the shirt. A low budget shirt costing you over $40. Sneaky in telling you up front. Ghetto ass workers. DONT BUY HERE,2018-08-25 22:02:14,False,0.08079435211200606
DvseKcEsF3aQF63zOKoECg,6z4YEOIyzOmAAwOzvCrCDA,__3qOwWFBUE8mdOToI7YrQ,3.0,0,0,0,"Other than them not being upfront with all the pricing I'm happy. Got 2 shirts was told $20 a shirt came up to $72 for 2 shirts so about $36 a shirt. I would have only got one if clear price was presented. Was going to order in bulk in the future, but with one price quoted and another charged won't be doing business there again. Friendly staff and good work just try to get an accurate price or pay first.",2018-08-25 14:14:43,False,0.11414985721286477
1v_Ja0bowvgATkXunjVVXQ,EyYHt4uUFyKX82UDHCovfg,__3qOwWFBUE8mdOToI7YrQ,1.0,2,1,0,"Definitely agree with the bad reviews on here. Very dishonest pricing. Was told we could get a free shirt with the custom shorts we were making. So the shorts were $91 or? How did that happen? They were super cool people but the lady literally said AFTER making everything, ""yeah it's $3.00 per letter, sorry I don't even know the price until after it's made."" Hmm.. well you could have told us that first and we could have decided if my step mom needed a pair of shorts that say ""BONER GARAGE"" on them that badly. I would have passed. Very expensive gag gift.",2018-07-24 21:38:33,False,0.09139001402438054
jGAvx4_z0Is1pF7Qz1igOg,YZnmE6Ox6b3kBEezT6P_tg,__3qOwWFBUE8mdOToI7YrQ,5.0,1,0,0,Bishop and Daffeny did my shirts - I got 3 and they did a great job! Bishop let my son do the screen print lever so he could tell his friends he made it!,2018-07-24 08:46:19,False,0.04990145781152747
XSr7zLIEv4aqC72PC6c6_g,5NI-Xo6MQH8yDsgzRIjihg,__3qOwWFBUE8mdOToI7YrQ,5.0,9,6,6,"We stopped by this place for the simple fact that we were lured in by the funny statements made on the articles of clothing.  I decided on the Beyonce face, deleting her name but keeping the word ""Slayed"" with the Rhinestone words with ""Vegas"" on the back.  I loved the customer service, all of the prices were told to us upfront with no hidden fees.  I'm not sure why there are so many previous customers who have had bad experiences but we will definitely be back!",2018-07-18 08:06:01,True,0.05149447892283709
d-hfwXJcUSbypyQ1vS0oYw,QLIxINGJPu3iYhCpXSxSfQ,__3qOwWFBUE8mdOToI7YrQ,5.0,2,1,1,"I never thought that a place like this is existed 
Came there to make some custom t shirts for my family with family pictures 
They explained me the price and show me a lot of options and designs 
Very professional highly recommended!",2018-05-29 03:46:35,False,0.062215500127933476
6JD2hR5fpahU3cHd2OR5sw,mGZbjJh9l4IMN-tUO1f1VQ,__3qOwWFBUE8mdOToI7YrQ,5.0,0,0,0,Needed some shirts made last minute for a video shoot and the staff their helped my vision come alive. Price was amazing too! Can't wait to have more shirts made.,2018-05-18 17:43:08,True,0.05855339839197802
-_r0HxMuqi-qV99GH8NwCw,L5LoMlVIZae-RuUhcZkDTQ,__3qOwWFBUE8mdOToI7YrQ,1.0,2,0,0,"Brought my own shirt and 2 images - $93 for printing / centering (""designing"") - they are not upfront with pricing.  Price was presented after shirt was done.",2018-05-14 04:53:54,False,0.08307204830804794
FTQEkPEBdj2mbLlAOUFg-A,9Rs0mw_VeCbDSLmfZF3o6g,__3qOwWFBUE8mdOToI7YrQ,1.0,2,0,1,"I had gotten two shirts. $168. The break down being $35 and $20 for the actual shirts. $25 each for the custom designs. THEN, what's not listed is a $25 fee for putting the design on. The one girl told me my second design would be $3 which is the only reason I got a second one. But they don't tell you anything about a $25 fee to put the design on.
So now it's $168 right?? I told the owner that they should explain that. That's not right that they don't tell you that. Also, not honoring what I was told, that my 2nd design would be $3. I swear I rarely ever complain but when I got back to my car- I noticed that the shirts felt like absolute shit. Pure paper. On a shirt. And the designs weren't even straight. I figured with smaller businesses they would want to make sure they made things right with me, but they clearly don't. Please don't go here, anyone. I can't even give the shirt as a gift it's such shitty quality.


Update: the mall did try to reminisce the situation. I just still want to warn everyone to NOT GO TO THIS STAND. They will rip you off. The owner is Israel Hayot and he's a complete smartass.

They use wax paper!! Which you can get at walmart for $10 and iron it on yourself. The quality is not worth the money.",2018-03-20 18:30:29,False,0.09712356602511708
8XUwz8001xgkW3L9DBgdGQ,_mqkzo4HdZ1fUTIJTMNKmA,__3qOwWFBUE8mdOToI7YrQ,1.0,3,0,0,A complete scam. Don't even stop to look. Told we could buy one shirt and get a second one for free.  The shirt cost $20.00.  But what they don't tell you is they charge you $35.00 each for the printing on both shirt. The bill was over $97.00.  If the second shirt is free how do they justify charging $35.00 when the printing was already on the shirt.,2018-03-14 06:40:45,False,0.0919489979308429
WKg769y0W8hMh_d1Wg-9AQ,zeztnzV3KR6h6ckDToxfQQ,__3qOwWFBUE8mdOToI7YrQ,1.0,2,0,0,"MORE LIKE ZERO STARS!!! So I'm a local here and went to Freemont St this weekend; have looked at these shirts a million times but never bought one util this weekend when I was there w/a friend of mine. I saw a cute one so asked the guy how much & he told me what the sign said: $19.99. It was ONE tank top. Once we went in to where they put the actual print on the shirt the sales guy put the shirt in the presser thing, THEN he asked if I wanted to add a ""protective coating"" for an extra $5, which I agreed to. A girl rang it up and asked if I wanted the receipt and I said ""that's ok"" (so I didn't see what she rang me up for). Well I checked my account today and saw a charge for $70.36! I thought it was a simple mistake until I called the guy who answered the phone # I found online for this ""Custom Kings"" charge on my account, and the guy told me I didn't understand the charge, and that the t-shirt is $19.99 but the PRINT was extra. So I asked him if he was trying to tell me that the tank top costs $70, and he wouldn't answer me, and proceeded to argue w/me, insult me, & I then told him I was going to report him to the BBB and tell all my friends to never buy anything from these incredulous deceitful people. I was fortunately able to call my bank and have them credit my account to where the charge was for the $24.99 that it was SUPPOSED to be. It was my first time buying anything from any of these little places in the whole 2 yrs I've been here so far, and it will be my last. I have lots of friends that come to visit from out of state and I will be sure to warn them all NOT to buy from ANY of these places. Far more reputable places to buy from here in Vegas - FAR MORE. #oncebittentwiceshy #scamartists",2017-11-28 01:18:41,False,0.10874872606006782
IGwjwMgc12Q-XuG_2UffCg,dKVmLkIXpi0566mnj7WY3g,__3qOwWFBUE8mdOToI7YrQ,1.0,1,1,1,"I complained to the police, they took a report....$178 for 3 shirts.  Thank you, vodka.",2017-11-24 15:31:51,False,0.027827819129222654
