id,review_id,user_id,business_id,stars,useful,funny,cool,text,date,expert,,,similarity matrices - not accounting for word count,,,,
1,82BCmTjCEVbvB0-pczvl-A,oq2aO7K-Y4CRKgpNgmA8tw,-5Kbw0m7lpLDAQSX5t-fVA,1,0,0,0,"I was at Williamsburg smile design for over 5 years. \nDr, Maples  and his assistant deserve 5 stars from me. The from desk is a disaster. They scare many clients away, absolutely not professional. After 5 years being their client, I missed one appointment and needed to pay $100 dismissals fees, which is absolutely fine, just the timing I got asked for a credit card was absolutely not appropriate. I was sitting at the busy office with people around me. Maybe after 5 years you should have just asked for this $100 at my next appointment. They wanted to know when I would love to have my next appointment, I just couldn't wrap my head around at this moment. The front desk is lacking on knowledge how to treat people and sympathy. I do not think they like clients. Just bc I was not able in that particular moment to give a new date, they told me, I should never come to their office again. Dear DR MAPES I seriously hope, you read this review! You are loosing clients, in cause of unprofessional acting of your front desk! After 5 years you should know better how to treat your clients.",12/13/2019 0:51,no,,,1,0.078748438,0.063239716,0.073651642,0
2,ZU9iWGvy2CND92x08V7q8A,L1fcLJGRE1QyG2XmmA0VFg,-5Kbw0m7lpLDAQSX5t-fVA,1,0,0,0,"The front desk girls are pleasant.. Rosie takes her job seriously and is seemingly caring... what's not pleasant is getting surprise bills when you were told multiple times they ""are in network"". After paying in full and upfront twice for said dental work . I get two surprise bills. They only told me after the bills came in that they are that they are NOT in network with anyone. They charge the max amount to insurance then bill you some more . Total 900$ four small fillings ... two of which were ""buffed"" out . Should have read reviews before going",6/10/2019 22:15,no,,,0.078748438,1,0.078468855,0.089793798,0.087395279
3,J5EJQxpJY0GzwN2BUz1fWg,vO66ZO-QERnIi0_HrPhxHg,-5Kbw0m7lpLDAQSX5t-fVA,1,3,0,0,"Fraudulent insurance practices and I will be escalating this one. Williamsburg Smiles Design/Ian Mapes -  just stay away!!! It really is a shame for a small business to use such deceptive practices. Long story short. THEY ARE NOT IN NETWORK AT ANY INSURANCE COMPANY AND WILL USE CLAIM CODES TO BILL YOU THE HIGHEST OUT OF NETWORK RATE THEY CAN GET - OFTEN THE CODES ARE DUPLICATIVE - SAME PROCEDURE. I did a root canal/crown there, a couple of years ago and at the onset of the procedures I explicitly asked for ""costs and predetermination"", the billing manager assures me of costs, tells me that i will be charged in-network rates. Particularly noteworthy because if she hadn't i would have walked away. She even spelled out the costs - by email, then proceeded to collect my portion of the payment on the day of procedure and settle at that point. After they had collected thousands of dollars from my insurance company for root canal/post/crown using duplicated procedure codes for the exact same treatment they then sent me a bill - 1.5 years later with erroneous payment info that doesn't match the Claim Receipt Payment from the insurance company. By that time, the original manager who dealt with insurance/received payment and got the business -  had left the company. Their predetermination vs what they actually bill vs insurance claim receipts don't match. This is fraud.",7/9/2018 3:36,no,,,0.063239716,0.078468855,1,0.108697221,0.012173909
4,a3L3oFfPiOTydj6fzu57iQ,LtpNMSNrjqz9ey1RzXMPyg,-5Kbw0m7lpLDAQSX5t-fVA,1,5,0,0,"NEVER GO HERE UNLESS YOU WANT TO BE BLINDLY CHARGED!\n\nThis is crazy as I had the worst experience here just like so many of the other reviews. I was told that my insurance would cover the appt and that they would just hold a credit card on file for basic procedure but would not be charged. The appt itself was awful, basically a 15 min cleaning and some x-rays. The receptionist was quite misleading as he wouldn't give me any solid price or bill in the end. They called and emailed relentlessly to rescedule a 2nd appt but I asked them to stop as I had no intention of getting another bad cleaning.\n\nI since notice a charge for $308 on my card. They never sent a bill or notified me of any charges and just billed without my knowledge. They obviously had my contact info as they were contacting me for repeat business. The manager was quite infuriating to deal with, her name was Natalie. I had called and emailed multiple times and she chose to ignore most of them. \n\nAt first I was told that the price was for x-rays when at the appt it was supposed to be comp'd. Now shes saying the typical cleaning price is $308. They keep changing their story on what the pricing is and if a bill was ever sent. They said they sent a bill, but that's anew development. \n\nIt must be so tiring stealing money from customers, they're crooks. I advise to never go here or get a sold list of prices on a bill before walking into an exam room. I wish there was a organization that regulated on their business so it would be shut down.",5/29/2018 20:33,no,,,0.073651642,0.089793798,0.108697221,1,0.139232824
5,JCAyOZw5GUu6tMG4XZ9dbg,NTaiRDS_83Vxrrcn1l46OA,-5Kbw0m7lpLDAQSX5t-fVA,1,4,0,0,BEWARE!!!! I got charged twice 500 for cleaning when I only went once!!!!,5/22/2018 23:23,no,,,0,0.087395279,0.012173909,0.139232824,1
,,,,,,,,,,,,,,,,,
6,hC8M9FfWCpzKuuhK1lSJKQ,aKmT9P5WSnt1bk0T_C_6lA,-5Kbw0m7lpLDAQSX5t-fVA,1,6,0,0,"PATIENT BEWARE! \n\nI had some work done here. They gave no indication that part of it would not be covered by my insurance. I don't get anything in the mail. Months later I start getting calls from a collection agency telling them I owe Williamsburg Smile multiple hundred dollars. \n\nI call Williamsburg Smile to get the overview. Indeed they're charging me an exorbitant amount that was never run by me or communicated to them. 'Fine, take your money, but I'm not going to pay the collections fee as I never received a bill from you. Please communicate this to the collections agency.' More than a year later, I am still getting harassing calls from a collections agency because these guys don't have their act together. \n\nTruly awful business and dental practice here. Seems other reviews underscore this truth. \n\nMore bad news, I told a coworker about this place before I had my billing issue with them. They charged him multiple hundred dollars for routine work and never told him what the bill would be. The guy was skipping meals for weeks just to pay these extortionists. \n\nIf you're looking for a decent dentist go to iSmile on North 8th. They have treated me with respect and let me know what charges might be.",5/8/2018 15:01,no,,,1,0.063871427,0.106589374,0.089859877,0.048094255
7,PWZm6K-ycCmVth726qZzWg,NbUMPLHGOAkTBd-vn8wCiw,-5Kbw0m7lpLDAQSX5t-fVA,1,3,0,0,"Read all the reviews prior to coming to an appt at this place . Everybody appears to be out of their coverage plan and needs to pay out pocket and then wait for a reimbursement first all . Has the doc there considered enrolling in more coverage plans so as to not to be so inconvenient to his patients . \n\nI had initially delayed an appt waiting for initial reimbursement on a cleaning - when the reimbursement was delayed because of an error on the side of management , the manager at the front desk had the nerve to give me lip.\n\nOnce i received my first reimbursement I decided to give them a second try - this time with flexible spending account cash . The dentist that saw me could not confirm or negate the presence of cavities based on my X-rays .  I still gave them the benefit of the doubt and scheduled cavity fill and bonding that would cost over a grand . I was supposedly suppose to have gotten a reminder for my appt which I did not . So on the day of my appt I received a call asking if I would be present . I informed them that I forgot and could be on my way now. It was clear to them I would be late but they allowed for me to come in . So I rushed over , paid over 35 bucks to uber it over to find out they canceled my appt .  Why ask me to come in ??? Only to tell me that you are charging me 100 dollar missed appt fee .  Wtf . I am physician myself and the fee is astronomical !!! The manager with the huge teeth upfront needs an attitude adjustment.",5/1/2018 22:31,no,,,0.063871427,1,0.088321681,0.052456709,0.048681322
8,XZMSOywvkZuC1cy3fQRJkA,PQbGAX1J2YoAddYlewMoFw,-5Kbw0m7lpLDAQSX5t-fVA,1,6,0,0,"The list of reasons to not go here: \nThe up-sell is insane, they wanted to replace all my existing fillings, tried to sell me invisilign, and said they don't accept my insurance so I paid for my exam and cleaning out of pocket, something like $800 but it was for 2 visit cleanings. What they don't tell you is it's a ""gentle cleaning"" and they then up-sell on a deep cleaning. I've never heard that one before. They also have a $100 cancellation fee. \nThere was no one in the place when I went, what dentist have you gone to and the entire lobby is empty? I wish I read the reviews on this place first, i see so many people had the same bad experience and now i have to find a new dentist. Don't go here.",4/3/2018 15:32,no,,,0.106589374,0.088321681,1,0.136936561,0.061364202
9,p4ILqB253txNWqYD2sqcUQ,SJgUpnULxpxwmwgOc6AboA,-5Kbw0m7lpLDAQSX5t-fVA,1,4,1,0,"I was skeptical going here because it seemed all reviews were either 1 star or 5 stars-- no in-between? I scheduled a regular cleaning that the office reassured me would be covered 100% by my insurance company. Like a lot of the 1 star reviews on here I was told I had multiple cavities (I've never even had 1 before) and was charged $800 for 30 minutes of service and my insurance covered $754. I stilled owed $46, which is only a small portion, but how is a standard cleaning ever $800? Complete and total scam. DO NOT go here under any circumstances. Like many other reviewers, I feel the need to report this practice as what they are doing is beyond wrong.",3/1/2018 2:08,no,,,0.089859877,0.052456709,0.136936561,1,0.087580479
